radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
UMTS,316,10,909,6443782,0,-117.31956481934,34.070663452148,1000,1,1,1270708270,1270708270,0
CDMA,316,1,3390,7153,0,-96.820449829102,32.706985473633,1000,3,1,1301945831,1301945831,0
CDMA,316,1,1232,42274,0,-85.332870483398,30.697860717773,1000,1,1,1313740045,1313740045,0
CDMA,316,1,1854,17257,0,-80.253067016602,26.145401000977,1000,2,1,1362143006,1362143006,0
LTE,316,6,8,873,0,-122.16178894043,47.504196166992,1000,1,1,1426087688,1426087688,0
LTE,316,70,5,5347,0,-121.06178283691,39.157333374023,1000,1,1,1445837819,1445837819,0
LTE,316,6,8,358,0,-122.25654602051,47.589340209961,1000,1,1,1426038333,1426038333,0
LTE,316,70,5,5483,0,-121.07688903809,39.010391235352,1000,1,1,1447167479,1447167479,0
LTE,316,170,51,1226,0,-79.852066040039,36.633224487305,1000,1,1,1444990897,1444990897,0
LTE,316,16,9,832,0,-74.192733764648,40.438613891602,1000,1,1,1437584470,1437584470,0
LTE,316,70,5,5362,0,-121.0604095459,39.025497436523,1000,1,1,1446519734,1446519734,0
LTE,316,70,5,1155,0,-121.62071228027,39.158706665039,1000,1,1,1438750614,1438750614,0
LTE,316,6,8,819,0,-122.15354919434,47.623672485352,1000,1,1,1426358593,1426358593,0
LTE,316,6,8,753,0,-122.31559753418,47.472610473633,1000,1,1,1425708112,1425708112,0
LTE,316,70,5,4859,0,-121.62483215332,39.150466918945,1000,1,1,1441585331,1441585331,0
LTE,316,6,8,4968,0,-122.17414855957,47.49870300293,1000,1,1,1426358489,1426358489,0
LTE,316,16,9,4385,0,-74.196853637695,40.438613891602,1000,1,1,1437667314,1437667314,0
LTE,316,70,5,4609,0,-121.07688903809,38.90739440918,1000,1,1,1446052740,1446052740,0
LTE,316,70,5,5361,0,-121.0604095459,39.025497436523,1000,1,1,1447167479,1447167479,0
LTE,316,70,5,1154,0,-121.6234588623,39.155960083008,1000,1,1,1441585320,1441585320,0
LTE,316,6,8,4678,0,-122.15354919434,47.619552612305,1000,1,1,1426358489,1426358489,0
LTE,316,6,8,4763,0,-122.36915588379,47.660751342773,1000,1,1,1425708176,1425708176,0
LTE,316,20,4,4877,0,-87.948989868164,42.484817504883,1000,1,1,1408433844,1408433844,0
LTE,316,6,8,533,0,-122.31559753418,47.472610473633,1000,1,1,1425708112,1425708112,0
LTE,316,180,1,4945,0,-94.544906616211,37.115249633789,1000,1,1,1467787817,1467787817,0
GSM,316,10,32178,28263,0,-73.764266967773,40.711898803711,1000,1,1,1429937801,1429937801,0
GSM,316,10,32178,60421,0,-73.764266967773,40.711898803711,1000,1,1,1429937801,1429937801,0
GSM,316,10,32178,61041,0,-73.764266967773,40.711898803711,1000,1,1,1429937801,1429937801,0
GSM,316,80,1,41,0,-93.171615600586,31.357040405273,1000,1,1,1446934420,1446934420,0
GSM,316,90,1,7031,0,-116.799088,34.984589,1000,2,1,1458849618,1478501428,0
GSM,316,10,32178,60423,0,-73.764266967773,40.711898803711,1000,1,1,1429937801,1429937801,0
GSM,316,10,32178,61042,0,-73.764266967773,40.711898803711,1000,1,1,1429937801,1429937801,0
GSM,316,80,1,42,0,-93.171615600586,31.357040405273,1000,1,1,1446934420,1446934420,0
GSM,316,80,1,43,0,-93.171615600586,31.359786987305,1000,1,1,1446934416,1446934416,0
GSM,316,90,1,7011,0,-115.80207824707,35.400009155273,1000,3,1,1460203725,1487920541,0
LTE,316,20,4,779,0,-88.306045532227,41.858596801758,1000,1,1,1461604814,1461604814,0
LTE,316,490,3,81,0,-104.61387634277,38.24821472168,1000,1,1,1490269696,1490269696,0
CDMA,316,7,9,658,-1,-77.319473,38.844345,1000,1,1,1505390570,1505392663,0
CDMA,316,7,8,4392,-1,-77.196533,38.735565,1000,1,1,1505393936,1505399161,0
CDMA,316,7,8,4904,-1,-77.201469,38.733135,1000,2,1,1505393936,1505399162,0
CDMA,316,7,9,489,-1,-77.319656,38.844364,1000,1,1,1505394408,1505399559,0
CDMA,316,7,9,1005,-1,-77.319473,38.844425,1000,1,1,1505394408,1505399559,0
CDMA,316,7,9,1001,-1,-77.319473,38.844265,1000,1,1,1505394409,1505399560,0
CDMA,316,7,2,4986,-1,-74.242737,39.559204,1000,3,1,1505411874,1505416853,0
CDMA,316,7,2,4730,-1,-74.262501,39.560406,3399,3,1,1505412119,1505417050,0
CDMA,316,7,3,560,-1,-93.196602,30.300753,1000,1,1,1505412572,1505417520,0
CDMA,316,7,3,304,-1,-93.196602,30.300753,1000,1,1,1505412572,1505417520,0
CDMA,316,7,3,832,-1,-93.257614,30.239534,1000,1,1,1505413715,1505418250,0
CDMA,316,7,2,644,-1,-74.242788,39.559085,1000,3,1,1505415668,1505419533,0
CDMA,316,7,3,12636,-1,-93.284813,30.877226,1000,1,1,1505416842,1505420166,0
CDMA,316,7,3,12893,-1,-93.284813,30.877226,1000,1,1,1505416843,1505420167,0
CDMA,316,7,3,12641,-1,-93.204201,31.710445,1000,1,1,1505417054,1505420273,0
CDMA,316,7,3,12897,-1,-93.259644,31.161694,1000,1,1,1505417060,1505420276,0
CDMA,316,7,3,12640,-1,-93.259644,31.161694,1000,1,1,1505417060,1505420276,0
